index;Regon;Typ;Nazwa;Województwo;Powiat;Gmina;Kod Pocztowy;Miasto;Ulica;Informacja u usniętym wpisie
10;382310463;F;ARKADIUSZ OŁDAK;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-119;Wrocław;ul. 3 Maja 13 lok. 9;----------------
11;382504150;F;MARIUSZ ZAWADZKI MANIEK;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-119;Wrocław;ul. 3 Maja 7 lok. 15;----------------
12;384213296;F;Klaudia Żygadło Nieruchomości;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-119;Wrocław;ul. 3 Maja 5B lok. 13;----------------
13;387460279;P;"PUBLICZNE PRZEDSZKOLE ""KRĘCIOŁEK""";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-119;Wrocław;ul. 3 Maja 13D;----------------
14;388379705;F;RAF-ART VISION RAFAŁ SZPOT;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-119;Wrocław;ul. 3 Maja 6B lok. 13;----------------
15;930147619;F;EDWARD SIEPIORA ARTYKUŁY PRZEMYSŁOWE;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-119;Wrocław;ul. 3 Maja 12 lok. 13;----------------
16;930235482;F;FIRMA HANDLOWO-USŁUGOWA BRNIAK ZBIGNIEW;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-119;Wrocław;ul. 3 Maja 2 B lok. 13;----------------
17;930960125;F;MARIAN REITER;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-118;Wrocław;ul. 3 Maja 12 lok. 8;----------------
18;933005587;P;STOWARZYSZENIE ROMÓW WE WROCŁAWIU ROMANI BACHT;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-119;Wrocław;ul. 3 Maja 13D;----------------
19;933012624;P;TOWARZYSTWO RODZICÓW UCZNIÓW ROMSKICH NEŁO DROM - NOWA DROGA;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-119;Wrocław;ul. 3 Maja 11 lok. 8;----------------
20;930487893;F;"""ILA"" KOPERNIK IWONA";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-119;Wrocław;ul. 3 Maja 6A lok. 5;wpis wykreślony
21;930915751;F;"""LUX"" SZPOT MARIA";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-119;Wrocław;ul. 3 Maja 6 B/13;wpis wykreślony
22;930817209;F;"""DIAMENT"" P.H.U. SOSZYŃSKI ANDRZEJ";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-119;Wrocław;ul. 3 Maja 13A lok. 10;wpis wykreślony
23;931899764;F;"""TRANSLEK"" PAJOR TOMASZ";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-119;Wrocław;ul. 3 Maja 7 lok. 1;wpis wykreślony
24;020324750;F;DUDEK JERZY;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-119;Wrocław;ul. 3 Maja 12 lok. 10;wpis wykreślony
25;020926785;F;BETA SERVICE KAROL KRYGIER;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-119;Wrocław;ul. 3 Maja 7 lok. 8;wpis wykreślony
26;020225746;F;ELŻBIETA DARŻYŃSKA;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-119;Wrocław;ul. 3 Maja 4B lok. 11;wpis wykreślony
27;931959302;F;"""FIRMA HANDLOWO-USŁUGOWA"" MUSIAŁ LILIANNA";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-119;Wrocław;ul. 3 Maja 2 B lok. 13;wpis wykreślony
28;020978196;F;MAGDALENA STENCEL MS;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-119;Wrocław;ul. 3 Maja 6B lok. 14;wpis wykreślony
29;932006768;F;DARŻYŃSKA ANETA HANDEL DETALICZNY;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-118;Wrocław;ul. 3 Maja 4 B lok. 11;wpis wykreślony
30;021021081;F;"GRZEGORZ STAŃKOWSKI ZAKŁAD USŁUGOWO-REMONTOWY ""MARTA""";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-119;Wrocław;ul. 3 Maja 2B lok. 3;wpis wykreślony
31;021115439;F;PIOTR WIŚNIEWSKI STARLEY;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-119;Wrocław;ul. 3 Maja 11 lok. 5;wpis wykreślony
32;022451748;P;"INTEGRACYJNY PUNKT PRZEDSZKOLNY ""ROMANO DROM PE FEDYR DZIPEN"" WE WROCŁAWIU";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-119;Wrocław;ul. 3 Maja 13D;wpis wykreślony
33;250293860;F;"""NAPRAWA AGD"" - JERZY KOSIK";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-119;Wrocław;ul. 3 Maja 13 lok. 14;wpis wykreślony
34;020013435;F;LIBDESIGN.PL OLGA DYBEK;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-119;Wrocław;ul. 3 Maja 12 lok. 14;wpis wykreślony
35;022189121;F;PATRYK SIKORA BUD-KAR;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-119;Wrocław;ul. 3 Maja 2A lok. 10;wpis wykreślony
36;360145171;F;MIROSŁAW SMOŁA USŁUGI- REMONTOWO- BUDOWLANE;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-119;Wrocław;ul. 3 Maja 6B lok. 7;wpis wykreślony
37;12023687600032;LF;Money4you Małgorzata Janicka;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-083;Wrocław;ul. 3 Maja 5;wpis wykreślony
38;363884472;F;MACIEJ GADOMSKI;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-119;Wrocław;ul. 3 Maja 7 lok. 4;wpis wykreślony
39;930166670;F;ADAM JAROSZEWSKI;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-119;Wrocław;ul. 3 Maja 5B lok. 10;wpis wykreślony
40;930898290;F;"""BIURO USŁUG RACHUNKOWYCH"" FIAŁKOWSKA ANNA";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-119;Wrocław;ul. 3 Maja 13A lok. 9;wpis wykreślony
41;021119615;F;EDMUND KARPIŃSKI TAXI;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-119;Wrocław;ul. 3 Maja 11 lok. 1;wpis wykreślony
42;380619481;F;KANCELARIA RADCY PRAWNEGO MILENA PENDULAK;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-131;Wrocław;ul. Adama Kopycińskiego 19 lok. 32;----------------
43;388336386;F;Szymon Kolasa;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-131;Wrocław;ul. Adama Kopycińskiego 13 lok. 41;----------------
44;388599051;P;WSPÓLNOTA MIESZKANIOWA BUFOROWA 89;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-131;Wrocław;ul. Adama Kopycińskiego 11, 13, 19;----------------
45;020031752;F;WOJCIECH PIETRAS BEST SERVICE;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 11 lok. 1;----------------
46;020600664;F;PRAKTYKA STOMATOLOGICZNA TRAFALSKI MATEUSZ;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 15 lok. 3;----------------
47;021032400;P;AKADEMIA PIŁKARSKA WROCŁAW;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 19 lok. 2;----------------
48;021060394;F;MAŁGORZATA KUŚNIERZ;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 7 lok. 5;----------------
49;021902574;F;USŁUGI KIĘGOWE JOANNA DOWBECKA;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-571;Wrocław;ul. Adama Uznańskiego 15 lok. 5;----------------
50;022055567;F;INDYWIDUALNA PRAKTYKA LEKARSKA Agata Trafalska;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 15 lok. 3;----------------
51;022180634;F;ANNA ERBEL;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 2 lok. 1;----------------
52;022369946;F;MAJA MAJ MAI POLISH HANDMADE;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 11 lok. 6;----------------
53;022503072;F;KANCELARIA ADWOKACKA ADWOKAT MACIEJ GRABSKI;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 2 lok. 12;----------------
54;02251921600021;LF;"""ComSmart"" DOMINIK ZDUŃCZUK";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 5 lok. 6;----------------
55;101349724;F;Studio Artystyczne Aneta Zalega;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 1;----------------
56;24151210100046;LF;PHU PMP Paweł Pietrasik;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 19 lok. 18;----------------
57;360259176;F;AMELPE Elżbieta Iżykowska;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 7 lok. 1;----------------
58;363376451;F;Agata Chorowska;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 2 lok. 41;----------------
59;364482072;F;3D Air Aleksander Ciszek;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 1;----------------
60;365450068;F;deevory MARTA PAKOWSKA;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 1;----------------
61;365638004;F;MICHAŁ SOŁTYS;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 13 lok. 7;----------------
62;365737309;F;Software Engineer Rafał Szampera;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 2 lok. 22;----------------
63;366541933;F;INDYWIDUALNA PRAKTYKA LEKARSKA ANNA JAKIEŁA;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 2 lok. 6;----------------
64;368895049;F;"""PANI KOSMETYCZKA"" - WERONIKA LEWANDOWSKA";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 2A;----------------
65;381137904;P;BRAWO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 2 lok. 56;----------------
66;381891156;F;KATARZYNA ŁABĘDZKA;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 11 lok. 8;----------------
67;382033963;P;NERO GROUP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 19 lok. 12;----------------
68;386220930;F;Oleksii Shymanskyi;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 13 lok. 1;----------------
69;386983822;F;MAKO Mariusz Kołodziejczyk;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 2 lok. 41;----------------
70;388160533;F;PLENITUDO NATALIA NIEZABITOWSKA;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 11 lok. 4;----------------
71;390635549;F;EKO FRYZJER MOBILNY EWELINA BURACZEWSKA-SZADUJKO;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 2 lok. 52;----------------
72;390994768;F;CUADRO SYLWIA KASPRZAK;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 2 lok. 42;----------------
73;531540610;F;"""NEW LIFE"" BOGDAN MŁYŃCZYK";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 11 lok. 4;----------------
74;930333032;F;JERZY CHABASIŃSKI SPEC BHP SERVICE;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 1 lok. 11;----------------
75;93078747700024;LF;GROSZEK TERESA USŁUGI KOSMETYCZNE MANICURE,PEDICURE;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 3;----------------
76;931031646;F;ELMAR MARCIN KOWALSKI;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 19 lok. 4;----------------
77;020463888;F;PVA CONSULTING ROBERT SAMSEL;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 2 lok. 53;wpis wykreślony
78;020769860;F;ZOFIA WOŁOWIEC;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 2 lok. 37;wpis wykreślony
79;021108592;F;RAFAŁ KRAJEWSKI QUARTZ;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 2 lok. 35;wpis wykreślony
80;390558850;F;ZOFIA KAMIŃSKA AGENT UBEZPIECZENIOWY;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 13 lok. 11;wpis wykreślony
81;021477591;F;ŁUKASZ BILANGOWSKI OPTIMNIA;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 2 lok. 24;wpis wykreślony
82;021363404;F;"ARKADIUSZ FRĄCKOWIAK PRZEDSIĘBIORSTWO WIELOBRANŻOWE ""KERA""";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 11 lok. 3;wpis wykreślony
83;013203256;F;ISALINE Izabela Samsel;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 2 lok. 53;wpis wykreślony
84;022213925;F;IZABELA ZAJĄC;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 2 lok. 28;wpis wykreślony
85;933013233;F;SEBASTIAN CHABASIŃSKI BHP SERVICE;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 9 lok. 12;wpis wykreślony
86;021236864;F;PAWEŁ AUGUSTYNOWICZ MEDAG APARATURA MEDYCZNA;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 2A;wpis wykreślony
87;021821002;F;RONIN PAWEŁ PRAJZNER;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 2 lok. 56;wpis wykreślony
88;02176947700028;LF;TOMASZ MALEC B-LIGHT;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 2 lok. 34;wpis wykreślony
89;022448545;F;PARIS CONSULTING Karolina Bartol;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 2 lok. 15;wpis wykreślony
90;022142846;F;CENTRUM USŁUG INSTALACYJNYCH Mateusz Glin;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 5 lok. 4;wpis wykreślony
91;021399715;F;RAFAŁ PAJĄK;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 17 lok. 1;wpis wykreślony
92;531398112;F;SOFUS Paweł Wiecha;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 1 lok. 10;wpis wykreślony
93;022351188;F;KAMIL KOWALCZYK;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 9 lok. 3;wpis wykreślony
94;368016154;F;Creative Angelika Niedowóz;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 1 lok. 1;wpis wykreślony
95;361203195;F;PIOTR BIEGLUK;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 3 lok. 10;wpis wykreślony
96;930984462;F;Inwest-inż GRZEGORZ ROGULA;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 2 lok. 45;wpis wykreślony
97;06006254300022;LF;Optima Laser Krystyna Kiełbasa;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 11 lok. 4;wpis wykreślony
98;36769032200019;LF;CERTIGO ZOFIA WOŹNY;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 1;wpis wykreślony
99;292694944;F;Marcin Olesiński;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;50-570;Wrocław;ul. Adama Uznańskiego 2 lok. 46;wpis wykreślony
100;020262546;F;GE-DA-USŁUGI KOMPLEKSOWE DRZAZGOWSKA EWA;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-212;Wrocław;ul. adm. Józefa Unruga 14 lok. 1;----------------
101;02178847000046;LF;BIURO PODRÓŻY CAMINO TRAVEL AGNIESZKA KULBIDA;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-212;Wrocław;ul. adm. Józefa Unruga 54 lok. 2;----------------
102;02181506500045;LF;AGNIESZKA BISKUP;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-212;Wrocław;ul. adm. Józefa Unruga 30;----------------
103;021947097;F;Tomasz Mróz;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-212;Wrocław;ul. adm. Józefa Unruga 60 lok. 2;----------------
104;08051897300032;LF;MEXICO ANITA JAROMIN;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-212;Wrocław;ul. adm. Józefa Unruga 68 lok. 2;----------------
105;243181915;F;Sandra de Leon Sotelo Carrera;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-212;Wrocław;ul. adm. Józefa Unruga 60 lok. 2;----------------
106;362895189;F;PHILIPP PISTORIUS;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-213;Wrocław;ul. adm. Józefa Unruga 42;----------------
107;364951880;F;BEATA ŚNIECHOWSKA FOOD ART;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-212;Wrocław;ul. adm. Józefa Unruga 56 lok. 1;----------------
108;368445547;P;LIONALL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-212;Wrocław;ul. adm. Józefa Unruga 60 lok. 2;----------------
109;380046080;F;MACIEJ GALANTOWICZ Naprawa komputerów osobistych i serwerów;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-212;Wrocław;ul. adm. Józefa Unruga 57 lok. 1;----------------
110;380321110;F;JUST HER FOTO JUSTYNA HERMAN;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-212;Wrocław;ul. adm. Józefa Unruga 46 lok. 2;----------------
111;381749688;F;WOJPOL WOJCIECH BARANIECKI;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-212;Wrocław;ul. adm. Józefa Unruga 57 lok. 2;----------------
112;382628886;F;SAMARIUM MAGDALENA SZURMIŃSKA;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-212;Wrocław;ul. adm. Józefa Unruga 42 lok. 2;----------------
113;38368868900016;LF;DKonsulting Dorota Korzępa;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-212;Wrocław;ul. adm. Józefa Unruga 76 lok. 1;----------------
114;384730130;P;CASA CARRERA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W LIKWIDACJI;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-212;Wrocław;ul. adm. Józefa Unruga 60 lok. 2;----------------
115;387077994;P;ROSES MANAGEMENT CONSULTING SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-212;Wrocław;ul. adm. Józefa Unruga 88;----------------
116;388501187;F;SHAPE CONTOUR ALEKSANDRA KUBALIŃSKA;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-200;Wrocław;ul. adm. Józefa Unruga 30;----------------
117;930560176;F;PRYWATNY GABINET HEMATOLOGICZNY MĘDRAŚ EWA;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-212;Wrocław;ul. adm. Józefa Unruga 5;----------------
118;930587590;F;MIECZYSŁAW RYCHALUK EXPORT-IMPORT;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-212;Wrocław;ul. adm. Józefa Unruga 7;----------------
119;930913717;P;"""KEDMAT"" BIURO CONSULTINGOWO-MARKETINGOWE S.C. KURCZAK TADEUSZ I S-KA";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-212;Wrocław;ul. adm. Józefa Unruga 11;----------------
120;931051761;F;RZECZOZNAWSTWO PIOTROWSKI TADEUSZ;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-212;Wrocław;ul. adm. Józefa Unruga 16;----------------
121;931600647;F;"ZDZISŁAW BARANIECKI ""EWA"" FIRMA";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-212;Wrocław;ul. adm. Józefa Unruga 57 lok. 2;----------------
122;931886477;F;"RAFAŁ KOŃCIAK ""RAF-COM""";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-212;Wrocław;ul. adm. Józefa Unruga 30 lok. 2;----------------
123;932307910;F;GOSPODARSTWO ROLNE;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-210;Wrocław;ul. adm. Józefa Unruga 37;----------------
124;932307932;F;GOSPODARSTWO ROLNE;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;53-210;Wrocław;ul. adm. Józefa Unruga 42 lok. 2;----------------
125;932709910;P;"""PARM POLSKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-212;Wrocław;ul. adm. Józefa Unruga 30B;----------------
126;930856178;F;"""BERGER"" BERGER SEBASTIAN";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-212;Wrocław;ul. adm. Józefa Unruga 23;wpis wykreślony
127;931866635;P;"""EURO-TECH"" S.C. ANTONIUK PIOTR, WASIAK DARIUSZ";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-212;Wrocław;ul. adm. Józefa Unruga 39;wpis wykreślony
128;931910922;F;"""JURGAZ"" NOGA JERZY";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-212;Wrocław;ul. adm. Józefa Unruga 19 lok. 1;wpis wykreślony
129;930800516;F;ZAKŁAD KRAWIECKI EKSPORT-IMPORT WESOŁOWICZ-MALIK ANETA;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-212;Wrocław;ul. adm. Józefa Unruga 7 lok. 2;wpis wykreślony
130;931080490;P;"""TEX-TRADE"" S.C. ŚMIAROWSKI ADAM, BARANIECKI DARIUSZ";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-212;Wrocław;ul. adm. Józefa Unruga 53;wpis wykreślony
131;005981675;F;"""DEMA"" RADOMIŃSKI DARIUSZ";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-212;Wrocław;ul. adm. Józefa Unruga 11;wpis wykreślony
132;931132778;P;SEBO SPÓŁKA JAWNA PRZYBYLSKI TADEUSZ, PRZYBYLSKA MARZENA;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-212;Wrocław;ul. adm. Józefa Unruga 37;wpis wykreślony
133;931549165;F;"""TRANSPORT CIĘŻAROWY"" GROMEK JÓZEF";DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki;52-212;Wrocław;ul. adm. Józefa Unruga 35;wpis wykreślony
